Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI
1,1,23,50,0.6000000000000001,0,0,0
1,2,0,0,0.6000000000000001,0,0,0
1,2,0,10,0.6000000000000001,0,0,0
1,2,0,20,0.5,0,0,0
1,2,0,30,0.5,0,0,0
1,2,0,40,0.5,0,0,0
1,2,0,50,0.4,0,0,0
1,2,1,0,0.4,0,0,0
1,2,1,10,0.30000000000000004,0,0,0
1,2,1,20,0.30000000000000004,0,0,0
1,2,1,30,0.2,0,0,0
1,2,1,40,0.2,0,0,0
1,2,1,50,0.1,0,0,0
1,2,2,0,0.1,0,0,0
1,2,2,10,0,0,0,0
1,2,2,20,-0.1,0,0,0
1,2,2,30,-0.2,0,0,0
1,2,2,40,-0.3,0,0,0
1,2,2,50,-0.4,0,0,0
1,2,3,0,-0.6,0,0,0
1,2,3,10,-0.6,0,0,0
1,2,3,20,-0.7,0,0,0
1,2,3,30,-0.8,0,0,0
1,2,3,40,-0.9,0,0,0
1,2,3,50,-1,0,0,0
1,2,4,0,-1,0,0,0
1,2,4,10,-1.1,0,0,0
1,2,4,20,-1.1,0,0,0
1,2,4,30,-1.1,0,0,0
1,2,4,40,-1.2,0,0,0
1,2,4,50,-1.2,0,0,0
1,2,5,0,-1.2,0,0,0
1,2,5,10,-1.2,0,0,0
1,2,5,20,-1.2,0,0,0
1,2,5,30,-1.2,0,0,0
1,2,5,40,-1.2,0,0,0
1,2,5,50,-1.2,0,0,0
1,2,6,0,-1.1,0,0,0
1,2,6,10,-1.1,0,0,0
1,2,6,20,-1.1,0,0,0
1,2,6,30,-1,0,0,0
1,2,6,40,-1,0,0,0
1,2,6,50,-0.9,0,0,0
1,2,7,0,-0.9,0,0,0
1,2,7,10,-0.6,0,0,0
1,2,7,20,-0.3,0,0,0
1,2,7,30,0,0,0,0
1,2,7,40,0.30000000000000004,347,16,31
1,2,7,50,0.7000000000000001,443,21,52
1,2,8,0,1,522,25,76
1,2,8,10,1.4000000000000001,586,29,101
1,2,8,20,1.7000000000000002,17,82,85
1,2,8,30,2.1,683,35,154
1,2,8,40,2.5,723,38,181
1,2,8,50,2.9000000000000004,755,40,207
1,2,9,0,3.3000000000000003,782,42,233
1,2,9,10,3.7,805,44,258
1,2,9,20,4.1000000000000005,826,45,282
1,2,9,30,4.5,844,47,305
1,2,9,40,4.800000000000001,860,48,328
1,2,9,50,5.2,874,49,349
1,2,10,0,5.6000000000000005,886,50,369
1,2,10,10,5.9,897,51,387
1,2,10,20,6.2,906,52,404
1,2,10,30,6.4,914,53,420
1,2,10,40,6.7,931,50,434
1,2,10,50,7,937,50,447
1,2,11,0,7.300000000000001,943,51,458
1,2,11,10,7.5,947,51,468
1,2,11,20,7.6000000000000005,950,51,476
1,2,11,30,7.800000000000001,953,52,482
1,2,11,40,8,955,52,487
1,2,11,50,8.200000000000001,956,52,490
1,2,12,0,8.3,957,52,492
1,2,12,10,8.4,957,52,492
1,2,12,20,8.5,956,52,490
1,2,12,30,8.6,955,52,486
1,2,12,40,8.700000000000001,960,52,484
1,2,12,50,8.8,957,51,478
1,2,13,0,8.9,953,51,469
1,2,13,10,8.9,949,51,459
1,2,13,20,8.8,943,50,447
1,2,13,30,8.8,938,50,434
1,2,13,40,8.8,930,49,420
1,2,13,50,8.8,922,48,404
1,2,14,0,8.8,913,48,386
1,2,14,10,8.4,902,47,367
1,2,14,20,8,890,46,347
1,2,14,30,7.7,876,45,326
1,2,14,40,7.300000000000001,863,43,304
1,2,14,50,7,845,41,280
1,2,15,0,6.6000000000000005,824,40,255
1,2,15,10,6,801,38,230
1,2,15,20,5.5,773,36,204
1,2,15,30,4.9,741,34,178
1,2,15,40,4.4,704,32,151
1,2,15,50,3.8000000000000003,660,29,124
1,2,16,0,3.2,606,26,98
1,2,16,10,3,542,23,72
1,2,16,20,2.8000000000000003,462,18,48
1,2,16,30,2.6,363,14,27
1,2,16,40,2.3000000000000003,0,0,0
1,2,16,50,2.1,0,0,0
1,2,17,0,1.9000000000000001,0,0,0
1,2,17,10,1.7000000000000002,0,0,0
1,2,17,20,1.6,0,0,0
1,2,17,30,1.5,0,0,0
1,2,17,40,1.3,0,0,0
1,2,17,50,1.2000000000000002,0,0,0
1,2,18,0,1.1,0,0,0
1,2,18,10,1,0,0,0
1,2,18,20,0.9,0,0,0
1,2,18,30,0.8,0,0,0
1,2,18,40,0.8,0,0,0
1,2,18,50,0.7000000000000001,0,0,0
1,2,19,0,0.6000000000000001,0,0,0
1,2,19,10,0.5,0,0,0
1,2,19,20,0.4,0,0,0
1,2,19,30,0.30000000000000004,0,0,0
1,2,19,40,0.2,0,0,0
1,2,19,50,0.1,0,0,0
1,2,20,0,0,0,0,0
1,2,20,10,-0.2,0,0,0
1,2,20,20,-0.3,0,0,0
1,2,20,30,-0.5,0,0,0
1,2,20,40,-0.7,0,0,0
1,2,20,50,-0.8,0,0,0
1,2,21,0,-1,0,0,0
1,2,21,10,-1.1,0,0,0
1,2,21,20,-1.1,0,0,0
1,2,21,30,-1.1,0,0,0
1,2,21,40,-1.2,0,0,0
1,2,21,50,-1.2,0,0,0
1,2,22,0,-1.2,0,0,0
1,2,22,10,-1.2,0,0,0
1,2,22,20,-1.2,0,0,0
1,2,22,30,-1.2,0,0,0
1,2,22,40,-1.2,0,0,0
1,2,22,50,-1.2,0,0,0
1,2,23,0,-1.3,0,0,0
1,2,23,10,-1.3,0,0,0
1,2,23,20,-1.3,0,0,0
1,2,23,30,-1.4,0,0,0
1,2,23,40,-1.4,0,0,0
1,2,23,50,-1.4,0,0,0
1,3,0,0,-1.5,0,0,0
1,3,0,10,-1.5,0,0,0
1,3,0,20,-1.6,0,0,0
1,3,0,30,-1.6,0,0,0
1,3,0,40,-1.7,0,0,0
1,3,0,50,-1.7,0,0,0
1,3,1,0,-1.8,0,0,0
1,3,1,10,-1.8,0,0,0
1,3,1,20,-1.8,0,0,0
1,3,1,30,-1.9,0,0,0
1,3,1,40,-1.9,0,0,0
1,3,1,50,-1.9,0,0,0
1,3,2,0,-2,0,0,0
1,3,2,10,-2,0,0,0
1,3,2,20,-2.1,0,0,0
1,3,2,30,-2.1,0,0,0
1,3,2,40,-2.2,0,0,0
1,3,2,50,-2.2,0,0,0
1,3,3,0,-2.3,0,0,0
1,3,3,10,-2.3,0,0,0
1,3,3,20,-2.4,0,0,0
1,3,3,30,-2.4,0,0,0
1,3,3,40,-2.5,0,0,0
1,3,3,50,-2.5,0,0,0
1,3,4,0,-2.6,0,0,0
1,3,4,10,-2.6,0,0,0
1,3,4,20,-2.7,0,0,0
1,3,4,30,-2.7,0,0,0
1,3,4,40,-2.8,0,0,0
1,3,4,50,-2.8,0,0,0
1,3,5,0,-2.8,0,0,0
1,3,5,10,-2.9,0,0,0
1,3,5,20,-2.9,0,0,0
1,3,5,30,-2.9,0,0,0
1,3,5,40,-3,0,0,0
1,3,5,50,-3,0,0,0
1,3,6,0,-3,0,0,0
1,3,6,10,-3,0,0,0
1,3,6,20,-3,0,0,0
1,3,6,30,-2.9,0,0,0
1,3,6,40,-2.9,0,0,0
1,3,6,50,-2.9,0,0,0
1,3,7,0,-2.8,0,0,0
